Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Nama Unit Bank Sampah,Nama Pengelola,Alamat Bank Sampah,Jumlah Anggota (Orang),Tahun
32.73.12,Batununggal,32.73.12.1004,Kacapiring,PKK RW 05,Ibu Haryati,Jl. Ahmad Yani,5,2018
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Umum,Ujang,Jl. Ahmad Yani,10,2018
32.73.12,Batununggal,32.73.12.1004,Kacapiring,PKK RW 09,Ibu Yuyun,Jl. Jakarta Dalam RW 09,4,2018
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Gober Kacapiring,Karsono,Jl. Sukabumi Dalam RW 06,20,2018
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Akrab,-,Jl. Sukabumi Dalam No. 34,4,2018
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Mawar RW 05,Haryati dan Diah,Jl. Tasikmalaya,5,2018
32.73.12,Batununggal,32.73.12.1004,Kacapiring,RW 06,-,Jl. Sukabumi,10,2018
32.73.12,Batununggal,32.73.12.1002,Maleer,Posyandu RW 02,-,RW 02,5,2018
32.73.12,Batununggal,32.73.12.1002,Maleer,Posyandu RW 09,-,RW 09,8,2018
32.73.12,Batununggal,32.73.12.1002,Maleer,-,-,Jl. Maleer Indah II No. 42,6,2018
32.73.12,Batununggal,32.73.12.1002,Maleer,Hijau Lestari PKK RW 09,Damini,RW 09,4,2018
32.73.12,Batununggal,32.73.12.1002,Maleer,Sajuta PKK RW 02,Rini,RW 02,5,2018
32.73.12,Batununggal,32.73.12.1006,Kebon Gedang,Cempaka Mekar,Erna Kaniawati,Jl. Kiaracondong Timur 165A/126C,8,2018
32.73.12,Batununggal,32.73.12.1006,Kebon Gedang,RW 02,-,Jl. Cipicung 2 RW 02,9,2018
32.73.12,Batununggal,32.73.12.1006,Kebon Gedang,Akrab,-,Jl. Wulan No. 5,11,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Binong Mandiri,-,Jl. Binong Jati,7,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Hijau Lestari,Teti,Jl. Binong Jati RW 06,8,2018
32.73.12,Batununggal,32.73.12.1008,Binong,RW 06,Muryati,RW 06,10,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Dahlia,Nani Suryani,Jl. Binong Kulon RW 01,9,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Gladiul,Shara Kilani,Binong Tengah RW 02,8,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Cempaka,Warinah,Binong Jati RW 03,6,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Nusa Indah,Lilis Juaningsih,Binong Jati RW 04,5,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Anggrek,Imas Rohaeti,Gg. Mesjid RW 05,4,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Melati,Muryati,Binong Jati II RW 06,9,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Sakura,Astati,Binong Tengah RW 07,5,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Sriluyu,Wiwit,Binong Jati RW 08,6,2018
32.73.12,Batununggal,32.73.12.1008,Binong,Kenangan,Teti,Jl. Haji Muhidin RW 09,8,2018
32.73.12,Batununggal,32.73.12.1008,Binong,KBR,Tati Hartati,Jl. H Basuki III RW 10,7,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Kangpisman Gumuruh Bangkit,-,Jl. Saturnus No. 8,6,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Melati,Siti Maryati,RW 01,5,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Tunas Bangsa,Yani Supiani,RW 02,8,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Saroja I,Iit Setianingsih,RW 03,6,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Saroja II,Popong Hernayati,RW 03,4,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Tanjung,Eti Nurwahyuni,RW 04,5,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Melati,Rodiah Nurhayati,RW 05,9,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Kenangan I,Nani,RW 06,10,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Kenangan II,Siti Umayah,RW 06,9,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Libra I,Arnesah,RW 07,5,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Libra II,Rina,RW 07,8,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Soka,Katarina Tarigan,RW 08,5,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Utami,Hj.Elin Herlina,RW 09,7,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Kemuning Gading,Sulasni,RW 10,6,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Mawar Putih I,Ade Suryati,RW 11,5,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Mawar Putih II,Yuyu Sri Rahayu,RW 11,4,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Teratai,Siti Sadiah,RW 12,4,2018
32.73.12,Batununggal,32.73.12.1001,Gumuruh,Berani,Evi Triana,Jl. Venus No. 6,71,2018
32.73.12,Batununggal,32.73.12.1003,Cibangkong,Kangpisman 1 TPS RW 06,-,Jl. Cibangkong No. 93,8,2018
32.73.12,Batununggal,32.73.12.1003,Cibangkong,Cibangkong Juara RW 06,-,RW 06,5,2018
32.73.12,Batununggal,32.73.12.1003,Cibangkong,Soka,Popon Komasih,Jl. Cukang Jati,9,2018
32.73.12,Batununggal,32.73.12.1003,Cibangkong,Melati,Ayi Sukaesih,Jl. Cibangkong RW 06,4,2018
32.73.12,Batununggal,32.73.12.1003,Cibangkong,Dahlia,Hj Lilis,Jl. Cibangkong RW 07,5,2018
32.73.12,Batununggal,32.73.12.1007,Samoja,Samoja Bersinar,-,Jl. Centeh No. 38,8,2018
32.73.12,Batununggal,32.73.12.1007,Samoja,Anggrek,Katmini,Jl. Karees Sapuran RT 01 RW 01,6,2018
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,Saluyu,-,Jl. Anyer No. 23,7,2018
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,Teratai II (RW 01),-,Gg. Samsi RW 01,5,2018
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,Cemara I (RW 02),-,Jl. Jatinegara RW 02,9,2018
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,Cemara II (RW 02),-,Jl. Jatinegara RW 02,6,2018
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,Cemara III (RW 02),-,Jl. Jatinegara RW 02,8,2018
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,Melati (RW 04),-,Jl. Labuan RW 04,4,2018
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,Bougenville I (RW 07),-,Jl. Kujang Pajajaran RW 07,6,2018
32.73.12,Batununggal,32.73.12.1004,Kacapiring,PKK RW 05,Ibu Haryati,Jl. Ahmad Yani,5,2019
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Umum,Ujang,Jl. Ahmad Yani,10,2019
32.73.12,Batununggal,32.73.12.1004,Kacapiring,PKK RW 09,Ibu Yuyun,Jl. Jakarta Dalam RW 09,4,2019
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Gober Kacapiring,Karsono,Jl. Sukabumi Dalam RW 06,20,2019
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Akrab,-,Jl. Sukabumi Dalam No. 34,4,2019
32.73.12,Batununggal,32.73.12.1004,Kacapiring,Mawar RW 05,Haryati dan Diah,Jl. Tasikmalaya,5,2019
32.73.12,Batununggal,32.73.12.1004,Kacapiring,RW 06,-,Jl. Sukabumi,10,2019
